clip,frame,length,fps
S01_kinect_clip01,903,31.199,28.943235360107693
S01_kinect_clip02,731,24.978,29.26575386339979
S01_kinect_clip03,1344,46.95,28.62619808306709
S01_kinect_clip04,1207,42.946,28.10506217109859
S01_kinect_clip05,2321,84.486,27.472007196458584
S01_kinect_clip06,1801,64.461,27.93937419524984
S01_kinect_clip07,2961,105.181,28.151472224070886
S01_kinect_clip08,1710,61.701,27.714299606165216
S01_kinect_clip09,2194,79.186,27.706917889525926
S01_kinect_clip10,1076,38.626,27.856883964169214
S01_kinect_clip11,1993,67.963,29.324779659520622
S01_kinect_clip12,1246,42.935,29.020612553860484
S02_kinect_clip01,700,23.528,29.75178510710643
S02_kinect_clip02,979,32.874,29.78037354748433
S02_kinect_clip03,1692,59.483,28.445101961905085
S02_kinect_clip04,1888,66.647,28.328356865275254
S02_kinect_clip05,2504,87.452,28.63285002058272
S02_kinect_clip06,1172,45.612,25.694992545821275
S02_kinect_clip07,1198,40.976,29.236626317844593
S02_kinect_clip08,2097,73.784,28.420795836495714
S02_kinect_clip09,2550,89.505,28.490028490028493
S02_kinect_clip10,1713,60.532,28.299081477565586
S02_kinect_clip11,1794,63.984,28.038259564891224
S02_kinect_clip12,1097,40.16,27.31573705179283
S03_kinect_clip01,1182,40.252,29.36500049686972
S03_kinect_clip03,1289,43.593,29.56896749478127
S03_kinect_clip04,2033,71.994,28.238464316470818
S03_kinect_clip05,1185,40.94,28.944797264289207
S03_kinect_clip06,2222,77.028,28.846653165082824
S03_kinect_clip07,1865,65.746,28.366744744927452
S03_kinect_clip08,3992,140.856,28.341000738342707
S03_kinect_clip09,3491,122.523,28.49260955085984
S03_kinect_clip11,3788,135.126,28.033095037224516
S03_kinect_clip12,2343,87.23,26.860025220680956
S03_kinect_clip15,1654,64.859,25.50147242479841
S04_kinect_clip01,487,75.466,6.453237219410066
S04_kinect_clip02,338,47.735,7.080758353409448
S04_kinect_clip03,498,74.144,6.716659473457056
S04_kinect_clip04,422,62.463,6.755999551734627
S04_kinect_clip05,404,60.827,6.641787364163941
S04_kinect_clip06,293,47.221,6.2048664788971015
S04_kinect_clip07,557,89.476,6.225132996557736
S04_kinect_clip08,519,76.381,6.794883544336942
S04_kinect_clip09,386,55.93,6.901483997854461
S04_kinect_clip10,473,67.787,6.9777390945166475
S04_kinect_clip11,965,150.727,6.402303502358569
S04_kinect_clip12,455,72.043,6.315672584428744
S05_kinect_clip01,124,19.893,6.23334841401498
S05_kinect_clip02,113,16.85,6.706231454005934
S05_kinect_clip03,219,32.135,6.8149992220320526
S05_kinect_clip04,235,35.921,6.542134127669051
S05_kinect_clip05,326,48.158,6.769384110635824
S05_kinect_clip06,423,65.822,6.426422776579259
S05_kinect_clip07,378,58.395,6.4731569483688665
S05_kinect_clip08,631,99.913,6.315494480197772
S05_kinect_clip09,311,48.949,6.353551655805022
S05_kinect_clip10,293,44.343,6.607581805470987
S05_kinect_clip11,402,61.646,6.521104370113227
S05_kinect_clip12,562,84.657,6.638553220643302
S06_kinect_clip01,52,7.242,7.1803369235017955
S06_kinect_clip02,72,11.547,6.235385814497271
S06_kinect_clip03,203,31.192,6.508078994614004
S06_kinect_clip04,180,26.753,6.7282173961798675
S06_kinect_clip05,317,51.905,6.107311434351218
S06_kinect_clip06,63,10.579,5.955194252764911
S06_kinect_clip08,183,27.644,6.6198813485747365
S06_kinect_clip09,410,60.567,6.769362854359635
S06_kinect_clip10,456,68.106,6.695445335212757
S06_kinect_clip11,251,37.428,6.706209255103132
S06_kinect_clip12,322,51.425,6.261545940690326
S06_kinect_clip13,336,52.594,6.388561432863064
S06_kinect_clip14,350,53.329,6.563033246451274
S07_kinect_clip01,310,29.381,10.551036384057724
S07_kinect_clip03,561,50.139,11.18889487225513
S07_kinect_clip04,693,67.451,10.274124920312524
S07_kinect_clip05,649,59.901,10.834543663711791
S07_kinect_clip06,999,90.131,11.08386681607882
S07_kinect_clip07,1427,158.637,8.995379388162913
S07_kinect_clip08,1451,255.242,5.684801090729582
S07_kinect_clip09,432,95.541,4.5216189907997615
S07_kinect_clip10,1001,172.465,5.804076189371757
S07_kinect_clip11,456,86.115,5.295244730883121
S07_kinect_clip12,1107,200.878,5.510807554834278
S07_kinect_clip13,774,136.07,5.688248695524363
S08_kinect_clip01,360,56.41,6.3818471902145015
S08_kinect_clip02,326,52.303,6.232912070053343
S08_kinect_clip03,902,142.464,6.331424079065589
S08_kinect_clip04,275,43.034,6.390296044987684
S08_kinect_clip05,416,64.997,6.40029539824915
S08_kinect_clip06,394,61.808,6.3745793424799375
S08_kinect_clip07,496,80.786,6.139677666922487
S08_kinect_clip08,328,49.37,6.643710755519547
S08_kinect_clip09,348,54.426,6.394002866277146
S08_kinect_clip10,362,55.312,6.544691929418572
S08_kinect_clip11,248,39.771,6.235699378944457
S08_kinect_clip12,335,51.27,6.53403549834211
S09_kinect_clip01,1409,48.86,28.837494883340156
S09_kinect_clip02,779,26.563,29.32650679516621
S09_kinect_clip03,1546,54.453,28.391456852698656
S09_kinect_clip04,2275,79.44,28.637965760322256
S09_kinect_clip05,1220,43.916,27.780307860460884
S09_kinect_clip06,701,25.057,27.976214231552063
S09_kinect_clip07,1201,42.786,28.069929416164165
S09_kinect_clip08,1174,42.17,27.839696466682476
S09_kinect_clip09,1720,84.616,20.327124893637137
S09_kinect_clip10,890,79.769,11.15721646253557
S09_kinect_clip11,934,82.25,11.355623100303951
S09_kinect_clip12,454,41.747,10.875032936498432
S10_kinect_clip01,588,20.65,28.474576271186443
S10_kinect_clip02,422,14.474,29.15572751139975
S10_kinect_clip03,1027,35.94,28.57540345019477
S10_kinect_clip04,805,28.169,28.577514288757143
S10_kinect_clip05,1179,41.739,28.246963271760226
S10_kinect_clip06,955,34.171,27.94767492903339
S10_kinect_clip07,1115,39.063,28.543634641476586
S10_kinect_clip08,2402,85.764,28.007089221584817
S10_kinect_clip09,1387,50.427,27.505106391417296
S10_kinect_clip10,2800,101.005,27.721399930696503
S10_kinect_clip11,1428,98.403,14.511752690466754
S10_kinect_clip12,722,70.88,10.186230248306998
S11_kinect_clip01,732,25.061,29.208730697099078
S11_kinect_clip02,1313,45.685,28.74028674619678
S11_kinect_clip03,951,32.838,28.960350813082403
S11_kinect_clip04,902,31.1,29.0032154340836
S11_kinect_clip05,1368,49.046,27.89218284875423
S11_kinect_clip06,920,32.905,27.95927670566783
S11_kinect_clip07,1787,62.458,28.611226744372217
S11_kinect_clip08,1401,50.602,27.68665270147425
S11_kinect_clip09,1020,37.021,27.5519299856838
S11_kinect_clip10,1545,54.791,28.198061725465863
S11_kinect_clip11,754,26.396,28.56493408092135
S11_kinect_clip12,1153,42.513,27.121115893961846
S12_kinect_clip01,697,23.772,29.320208648830558
S12_kinect_clip02,515,18.337,28.08529203250259
S12_kinect_clip03,904,31.572,28.632965919168885
S12_kinect_clip04,902,30.99,29.10616327847693
S12_kinect_clip05,953,33.556,28.400286088925977
S12_kinect_clip06,961,34.372,27.958803677411847
S12_kinect_clip07,1127,40.981,27.50054903491862
S12_kinect_clip08,1363,48.735,27.967579768133785
S12_kinect_clip09,692,23.879,28.979437999916243
S12_kinect_clip10,969,35.992,26.922649477661704
S12_kinect_clip11,746,27.747,26.885789454715827
S12_kinect_clip12,917,32.168,28.50659040039791
